Source,ID,Common name,Scientific name,Recordist,Date,Year,Month,Day,Time,Hour,Minute,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,License
Macaulay Library,80423,Rusty Tinamou,Crypturellus brevirostris,Ted Parker,NA,1990,1,NA,NA,NA,NA,Manaus,Brazil,,,,,NOTES: See voice announcement at end of LNS 80423.,Poliocrania exsul,
Macaulay Library,134458,Rusty Tinamou,Crypturellus brevirostris,Brian O'Shea,10/14/06,2006,10,14,NA,NA,NA,Acari Mountains,Guyana,1.3833333,-58.9333333,,,Other Behaviors: Advertise. Habitat: Rainforest.,,
xeno-canto,81202,Rusty Tinamou,Crypturellus brevirostris,Alexandre Renaudier,5/29/11,2011,5,29,NA,NA,NA,"Régina, Inselberg Virginie",French Guiana,,,100,song, a very poorly known species in French Guiana. This is the first recording for this country. ,,//creativecommons.org/licenses/by-nc-nd/2.5/
xeno-canto,81200,Rusty Tinamou,Crypturellus brevirostris,Alexandre Renaudier,5/29/11,2011,5,29,NA,NA,NA,"Régina, Inselberg Virginie",French Guiana,,,100,song, a very poorly known species in French Guiana. This is tirst recording for this country. ,Myrmothera campanisona,//creativecommons.org/licenses/by-nc-nd/2.5/
xeno-canto,386694,Rusty Tinamou,Crypturellus brevirostris,Pelletier Vincent,9/3/13,2013,9,3,18:00,18,0,"Bois Martin, Apatou",French Guiana,4.9771,-54.4212,80,song,,,//creativecommons.org/licenses/by-nc-sa/4.0/
xeno-canto,253198,Rusty Tinamou,Crypturellus brevirostris,Olivier Claessens,4/18/15,2015,4,18,18:23,18,23,"camp Aya, Trinité Nature Reserve",French Guiana,4.6006,-53.412,150,song,unusually long song with a slowing down decrescendo second part. A particularity of this individual which was heard daily at the same hour,,//creativecommons.org/licenses/by-nc-sa/4.0/
xeno-canto,450787,Rusty Tinamou,Crypturellus brevirostris,Brice de la Croix,10/14/18,2018,10,14,6:00,6,0,"Kourou, piste de la Montagne Plomb",French Guiana,5.1567,-52.6698,10,song,At dawn. One isolated spontaneous song.,,//creativecommons.org/licenses/by-nc-sa/4.0/
ARBIMON,Ara1-2019-08-08_22-20,Rusty Tinamou,Crypturellus brevirostris,Automatic Recording Unit,,2019,8,8,22:20,22,20,"Ara1 - Loma de Cotudos, río Yarí",Colombia,-0.543,-72.257,175,,ARU deployed by Claudia Medina. Recording identify by Orlando Acevedo-Charry,,
ARBIMON,Ara5-2019-08-08_17-50,Rusty Tinamou,Crypturellus brevirostris,Automatic Recording Unit,,2019,8,8,17:50,17,50,"Ara5 - Loma de Cotudos, río Yarí",Colombia,-0.558,-72.266,171,,ARU deployed by Claudia Medina. Recording identify by Orlando Acevedo-Charry,,
ARBIMON,Ara3-2019-08-10_23-10,Rusty Tinamou,Crypturellus brevirostris,Automatic Recording Unit,,2019,8,10,23:10,23,10,"Ara3 - Loma de Cotudos, río Yarí",Colombia,-0.547,-72.258,166,,ARU deployed by Claudia Medina. Recording identify by Orlando Acevedo-Charry,,
ARBIMON,Ara1-2019-08-11_20-10,Rusty Tinamou,Crypturellus brevirostris,Automatic Recording Unit,,2019,8,11,20:10,20,10,"Ara1 - Loma de Cotudos, río Yarí",Colombia,-0.543,-72.257,175,,ARU deployed by Claudia Medina. Recording identify by Orlando Acevedo-Charry,,
xeno-canto,585282,Rusty Tinamou,Crypturellus brevirostris,Jacob Socolar,8/16/19,2019,8,16,5:46,5,46,"Campana, río Yarí",Colombia,-0.4387,-72.3587,200,song,"Vocalization given spontaneously at dawn.  Identified by Bret Whitney, who says this is a better match for brevirostris than for bartletti.  Habitat was tall forest on poor soils in terra firme.",,//creativecommons.org/licenses/by-nc-sa/4.0/
xeno-canto,582704,Rusty Tinamou,Crypturellus brevirostris,Brice de la Croix,7/16/20,2020,7,16,6:00,6,0,"Kourou, piste de la Montagne Plomb",French Guiana,5.1567,-52.6698,10,"duet, song","Very poor recording of a duet at dawn. It starts with a secondary vocalization (single whistles), followed by a long(primary) song at 13th s.",,//creativecommons.org/licenses/by-nc-sa/4.0/
xeno-canto,582702,Rusty Tinamou,Crypturellus brevirostris,Brice de la Croix,7/16/20,2020,7,16,6:00,6,0,"Kourou, piste de la Montagne Plomb",French Guiana,5.1567,-52.6698,10,"duet, song","Very poor recording of a duet at dawn. It starts with a secondary vocalization (single whistles), followed by a long(primary) song at 11th s.",,//creativecommons.org/licenses/by-nc-sa/4.0/
Macaulay Library,280211861,Rusty Tinamou,Crypturellus brevirostris,Paul Lenrumé,8/1/20,2020,8,1,NA,NA,NA,Petite Montagne Tortue,French Guiana,4.3030216,-52.2205171,,,,,
xeno-canto,634944,Rusty Tinamou,Crypturellus brevirostris,Paul Lenrumé,10/29/20,2020,10,29,23:00,23,0,"Forêt basse Paul Isnard, Saint-Laurent-du-Maroni",French Guiana,5.0046,-54.0232,130,song,Full night recorded in low forest on saprolyte. ,,//creativecommons.org/licenses/by-nc-sa/4.0/
xeno-canto,634942,Rusty Tinamou,Crypturellus brevirostris,Paul Lenrumé,10/29/20,2020,10,29,0:30,0,30,"Forêt basse Paul Isnard, Saint-Laurent-du-Maroni",French Guiana,5.0046,-54.0232,130,song,Full night recorded in low forest on saprolyte. ,,//creativecommons.org/licenses/by-nc-sa/4.0/
Macaulay Library,280277461,Rusty Tinamou,Crypturellus brevirostris,Paul Lenrumé,10/29/20,2020,10,29,NA,NA,NA,Piste Paul Isnard--forêt basse,French Guiana,4.9231203,-53.9940445,,,Historical - Incomplete list,,
Macaulay Library,280277371,Rusty Tinamou,Crypturellus brevirostris,Paul Lenrumé,10/29/20,2020,10,29,NA,NA,NA,Piste Paul Isnard--forêt basse,French Guiana,4.9231203,-53.9940445,,,Historical - Incomplete list,,
xeno-canto,519934,Rusty Tinamou,Crypturellus brevirostris,Brice de la Croix,1/12/20,2020,12,1,6:00,6,0,"Kourou, piste de la Montagne Plomb",French Guiana,5.1567,-52.6698,10,song,One spontaneous isolated song,,//creativecommons.org/licenses/by-nc-sa/4.0/
xeno-canto,519931,Rusty Tinamou,Crypturellus brevirostris,Brice de la Croix,1/12/20,2020,12,1,17:00,17,0,"Kourou, piste de la Montagne Plomb",French Guiana,5.1567,-52.6698,10,song,One spontaneous isolated song,,//creativecommons.org/licenses/by-nc-sa/4.0/
Macaulay Library,433475951,Rusty Tinamou,Crypturellus brevirostris,Peter Kaestner,3/30/22,2022,3,30,16:40,16,40,Fredberg--Zintete Lodge,Suriname,4.6361,-55.4192,,,Call is about half-way through the recording.  Lots of frogs in background.  Called only three times in 40 minutes of encounter.,,
xeno-canto,608919,Rusty Tinamou,Crypturellus brevirostris,Fred-Pansa,0000-00-00,NA,NA,NA,18:00,18,0,"Wittikamba, Boven Suriname, Sipaliwini",Suriname,4.6477,-55.3859,90,song,,,//creativecommons.org/licenses/by-nc-sa/4.0/
